location|province
Afghanistan|nan
Albania|nan
Algeria|nan
Andorra|nan
Angola|nan
Antigua and Barbuda|nan
Argentina|nan
Armenia|nan
Aruba|nan
Australia|Australian Capital Territory
Australia|External territories
Australia|From Diamond Princess
Australia|Jervis Bay Territory
Australia|New South Wales
Australia|Northern Territory
Australia|Queensland
Australia|South Australia
Australia|Tasmania
Australia|Victoria
Australia|Western Australia
Australia|nan
Austria|None
Austria|nan
Azerbaijan|nan
Bahamas|nan
Bahrain|nan
Bangladesh|nan
Barbados|nan
Belarus|nan
Belgium|Antwerp
Belgium|Brussels
Belgium|East Flanders
Belgium|Flemish Brabant
Belgium|Hainaut
Belgium|Liege
Belgium|Limburg
Belgium|Luxembourg
Belgium|Namur
Belgium|Unknown
Belgium|Walloon Brabant
Belgium|West Flanders
Belgium|nan
Belize|nan
Benin|nan
Bhutan|nan
Bolivia|nan
Bosnia and Herzegovina|nan
Botswana|nan
Brazil|Acre
Brazil|Alagoas
Brazil|Amapa
Brazil|Amazonas
Brazil|Bahia
Brazil|Ceara
Brazil|Distrito Federal
Brazil|Espirito Santo
Brazil|Goias
Brazil|Maranhao
Brazil|Mato Grosso
Brazil|Mato Grosso do Sul
Brazil|Minas Gerais
Brazil|Para
Brazil|Paraiba
Brazil|Parana
Brazil|Pernambuco
Brazil|Piaui
Brazil|Rio Grande do Norte
Brazil|Rio Grande do Sul
Brazil|Rio de Janeiro
Brazil|Rondonia
Brazil|Roraima
Brazil|Santa Catarina
Brazil|Sao Paulo
Brazil|Sergipe
Brazil|Tocantins
Brazil|Unknown
Brazil|nan
Brunei|nan
Bulgaria|nan
Burkina Faso|nan
Burma|nan
Burundi|nan
Cabo Verde|nan
Cambodia|nan
Cameroon|nan
Canada| Montreal, QC
Canada|Alberta
Canada|British Columbia
Canada|Calgary, Alberta
Canada|Diamond Princess
Canada|Edmonton, Alberta
Canada|Grand Princess
Canada|London, ON
Canada|Manitoba
Canada|New Brunswick
Canada|Newfoundland and Labrador
Canada|Northwest Territories
Canada|Nova Scotia
Canada|Nunavut
Canada|Ontario
Canada|Prince Edward Island
Canada|Quebec
Canada|Recovered
Canada|Repatriated Travellers
Canada|Saskatchewan
Canada|Toronto, ON
Canada|Yukon
Cape Verde|nan
Cayman Islands|nan
Central African Republic|nan
Chad|nan
Channel Islands|nan
Chile|Antofagasta
Chile|Araucania
Chile|Arica y Parinacota
Chile|Atacama
Chile|Aysen
Chile|Biobio
Chile|Coquimbo
Chile|Los Lagos
Chile|Los Rios
Chile|Magallanes
Chile|Maule
Chile|Metropolitana
Chile|Nuble
Chile|OHiggins
Chile|Tarapaca
Chile|Unknown
Chile|Valparaiso
Chile|nan
China|Anhui
China|Beijing
China|Chongqing
China|Fujian
China|Gansu
China|Guangdong
China|Guangxi
China|Guizhou
China|Hainan
China|Hebei
China|Heilongjiang
China|Henan
China|Hong Kong
China|Hubei
China|Hunan
China|Inner Mongolia
China|Jiangsu
China|Jiangxi
China|Jilin
China|Liaoning
China|Macau
China|Ningxia
China|Qinghai
China|Shaanxi
China|Shandong
China|Shanghai
China|Shanxi
China|Sichuan
China|Tianjin
China|Tibet
China|Xinjiang
China|Yunnan
China|Zhejiang
Colombia|Amazonas
Colombia|Antioquia
Colombia|Arauca
Colombia|Atlantico
Colombia|Bolivar
Colombia|Boyaca
Colombia|Caldas
Colombia|Capital District
Colombia|Caqueta
Colombia|Casanare
Colombia|Cauca
Colombia|Cesar
Colombia|Choco
Colombia|Cordoba
Colombia|Cundinamarca
Colombia|Guainia
Colombia|Guaviare
Colombia|Huila
Colombia|La Guajira
Colombia|Magdalena
Colombia|Meta
Colombia|Narino
Colombia|Norte de Santander
Colombia|Putumayo
Colombia|Quindio
Colombia|Risaralda
Colombia|San Andres y Providencia
Colombia|Santander
Colombia|Sucre
Colombia|Tolima
Colombia|Unknown
Colombia|Valle del Cauca
Colombia|Vaupes
Colombia|Vichada
Colombia|nan
Comoros|nan
Congo (Brazzaville)|nan
Congo (Kinshasa)|nan
Costa Rica|nan
Cote d'Ivoire|nan
Croatia|nan
Cruise Ship|Diamond Princess
Cuba|nan
Curacao|nan
Cyprus|nan
Czech Republic|nan
Czechia|nan
Denmark|Denmark
Denmark|Faroe Islands
Denmark|Greenland
Denmark|nan
Diamond Princess|nan
Djibouti|nan
Dominica|nan
Dominican Republic|nan
East Timor|nan
Ecuador|nan
Egypt|nan
El Salvador|nan
Equatorial Guinea|nan
Eritrea|nan
Estonia|nan
Eswatini|nan
Ethiopia|nan
Faroe Islands|nan
Fiji|nan
Finland|nan
France|Fench Guiana
France|France
France|French Guiana
France|French Polynesia
France|Guadeloupe
France|Martinique
France|Mayotte
France|New Caledonia
France|Reunion
France|Saint Barthelemy
France|Saint Pierre and Miquelon
France|St Martin
France|Wallis and Futuna
France|nan
French Guiana|nan
Gabon|nan
Gambia|nan
Georgia|nan
Germany|Baden-Wurttemberg
Germany|Bavaria
Germany|Bayern
Germany|Berlin
Germany|Brandenburg
Germany|Bremen
Germany|Hamburg
Germany|Hessen
Germany|Mecklenburg-Vorpommern
Germany|Niedersachsen
Germany|Nordrhein-Westfalen
Germany|Rheinland-Pfalz
Germany|Saarland
Germany|Sachsen
Germany|Sachsen-Anhalt
Germany|Schleswig-Holstein
Germany|Thuringen
Germany|Unknown
Germany|nan
Ghana|nan
Gibraltar|nan
Greece|nan
Greenland|nan
Grenada|nan
Guadeloupe|nan
Guam|nan
Guatemala|nan
Guernsey|nan
Guinea|nan
Guinea-Bissau|nan
Guyana|nan
Haiti|nan
Holy See|nan
Honduras|nan
Hong Kong|Hong Kong
Hong Kong SAR|Hong Kong
Hungary|nan
Iceland|nan
India|Andaman and Nicobar Islands
India|Andhra Pradesh
India|Arunachal Pradesh
India|Assam
India|Bihar
India|Chandigarh
India|Chhattisgarh
India|Dadar Nagar Haveli
India|Dadra and Nagar Haveli and Daman and Diu
India|Delhi
India|Goa
India|Gujarat
India|Haryana
India|Himachal Pradesh
India|Jammu and Kashmir
India|Jharkhand
India|Karnataka
India|Kerala
India|Ladakh
India|Lakshadweep
India|Madhya Pradesh
India|Maharashtra
India|Manipur
India|Meghalaya
India|Mizoram
India|Nagaland
India|Odisha
India|Puducherry
India|Punjab
India|Rajasthan
India|Sikkim
India|Tamil Nadu
India|Telangana
India|Tripura
India|Unknown
India|Uttar Pradesh
India|Uttarakhand
India|West Bengal
India|nan
Indonesia|nan
Iran|nan
Iraq|None
Iraq|nan
Ireland|nan
Israel|From Diamond Princess
Israel|nan
Italy|Abruzzo
Italy|Basilicata
Italy|Calabria
Italy|Campania
Italy|Emilia-Romagna
Italy|Friuli Venezia Giulia
Italy|Lazio
Italy|Liguria
Italy|Lombardia
Italy|Marche
Italy|Molise
Italy|P.A. Bolzano
Italy|P.A. Trento
Italy|Piemonte
Italy|Puglia
Italy|Sardegna
Italy|Sicilia
Italy|Toscana
Italy|Umbria
Italy|Valle d'Aosta
Italy|Veneto
Italy|nan
Ivory Coast|nan
Jamaica|nan
Japan|Aichi
Japan|Akita
Japan|Aomori
Japan|Chiba
Japan|Ehime
Japan|Fukui
Japan|Fukuoka
Japan|Fukushima
Japan|Gifu
Japan|Gunma
Japan|Hiroshima
Japan|Hokkaido
Japan|Hyogo
Japan|Ibaraki
Japan|Ishikawa
Japan|Iwate
Japan|Kagawa
Japan|Kagoshima
Japan|Kanagawa
Japan|Kochi
Japan|Kumamoto
Japan|Kyoto
Japan|Mie
Japan|Miyagi
Japan|Miyazaki
Japan|Nagano
Japan|Nagasaki
Japan|Nara
Japan|Niigata
Japan|Oita
Japan|Okayama
Japan|Okinawa
Japan|Osaka
Japan|Port Quarantine
Japan|Saga
Japan|Saitama
Japan|Shiga
Japan|Shimane
Japan|Shizuoka
Japan|Tochigi
Japan|Tokushima
Japan|Tokyo
Japan|Tottori
Japan|Toyama
Japan|Unknown
Japan|Wakayama
Japan|Yamagata
Japan|Yamaguchi
Japan|Yamanashi
Japan|nan
Jersey|nan
Jordan|nan
Kazakhstan|nan
Kenya|nan
Kosovo|nan
Kuwait|nan
Kyrgyzstan|nan
Laos|nan
Latvia|nan
Lebanon|None
Lebanon|nan
Lesotho|nan
Liberia|nan
Libya|nan
Liechtenstein|nan
Lithuania|nan
Luxembourg|nan
MS Zaandam|nan
Macao SAR|Macau
Macau|Macau
Madagascar|nan
Malawi|nan
Malaysia|nan
Maldives|nan
Mali|nan
Malta|nan
Marshall Islands|nan
Martinique|nan
Mauritania|nan
Mauritius|nan
Mayotte|nan
Mexico|Aguascalientes
Mexico|Baja California
Mexico|Baja California Sur
Mexico|Campeche
Mexico|Chiapas
Mexico|Chihuahua
Mexico|Ciudad de Mexico
Mexico|Coahuila
Mexico|Colima
Mexico|Durango
Mexico|Guanajuato
Mexico|Guerrero
Mexico|Hidalgo
Mexico|Jalisco
Mexico|Mexico
Mexico|Michoacan
Mexico|Morelos
Mexico|Nayarit
Mexico|Nuevo Leon
Mexico|Oaxaca
Mexico|Puebla
Mexico|Queretaro
Mexico|Quintana Roo
Mexico|San Luis Potosi
Mexico|Sinaloa
Mexico|Sonora
Mexico|Tabasco
Mexico|Tamaulipas
Mexico|Tlaxcala
Mexico|Unknown
Mexico|Veracruz
Mexico|Yucatan
Mexico|Zacatecas
Mexico|nan
Micronesia|nan
Moldova|nan
Monaco|nan
Mongolia|nan
Montenegro|nan
Morocco|nan
Mozambique|nan
Namibia|nan
Nepal|nan
Netherlands|Aruba
Netherlands|Bonaire, Sint Eustatius and Saba
Netherlands|Curacao
Netherlands|Drenthe
Netherlands|Flevoland
Netherlands|Friesland
Netherlands|Gelderland
Netherlands|Groningen
Netherlands|Limburg
Netherlands|Netherlands
Netherlands|Noord-Brabant
Netherlands|Noord-Holland
Netherlands|Overijssel
Netherlands|Sint Maarten
Netherlands|Unknown
Netherlands|Utrecht
Netherlands|Zeeland
Netherlands|Zuid-Holland
Netherlands|nan
New Zealand|nan
Nicaragua|nan
Niger|nan
Nigeria|nan
North Ireland|nan
North Macedonia|nan
Norway|nan
Oman|nan
Others|Cruise Ship
Others|Diamond Princess cruise ship
Pakistan|Azad Jammu and Kashmir
Pakistan|Balochistan
Pakistan|Gilgit-Baltistan
Pakistan|Islamabad
Pakistan|Khyber Pakhtunkhwa
Pakistan|Punjab
Pakistan|Sindh
Pakistan|nan
Palestine|nan
Panama|nan
Papua New Guinea|nan
Paraguay|nan
Peru|Amazonas
Peru|Ancash
Peru|Apurimac
Peru|Arequipa
Peru|Ayacucho
Peru|Cajamarca
Peru|Callao
Peru|Cusco
Peru|Huancavelica
Peru|Huanuco
Peru|Ica
Peru|Junin
Peru|La Libertad
Peru|Lambayeque
Peru|Lima
Peru|Loreto
Peru|Madre de Dios
Peru|Moquegua
Peru|Pasco
Peru|Piura
Peru|Puno
Peru|San Martin
Peru|Tacna
Peru|Tumbes
Peru|Ucayali
Peru|Unknown
Peru|nan
Philippines|nan
Poland|nan
Portugal|nan
Puerto Rico|nan
Qatar|nan
Republic of the Congo|nan
Reunion|nan
Romania|nan
Russia|Adygea Republic
Russia|Altai Krai
Russia|Altai Republic
Russia|Amur Oblast
Russia|Arkhangelsk Oblast
Russia|Astrakhan Oblast
Russia|Bashkortostan Republic
Russia|Belgorod Oblast
Russia|Bryansk Oblast
Russia|Buryatia Republic
Russia|Chechen Republic
Russia|Chelyabinsk Oblast
Russia|Chukotka Autonomous Okrug
Russia|Chuvashia Republic
Russia|Dagestan Republic
Russia|Ingushetia Republic
Russia|Irkutsk Oblast
Russia|Ivanovo Oblast
Russia|Jewish Autonomous Okrug
Russia|Kabardino-Balkarian Republic
Russia|Kaliningrad Oblast
Russia|Kalmykia Republic
Russia|Kaluga Oblast
Russia|Kamchatka Krai
Russia|Karachay-Cherkess Republic
Russia|Karelia Republic
Russia|Kemerovo Oblast
Russia|Khabarovsk Krai
Russia|Khakassia Republic
Russia|Khanty-Mansi Autonomous Okrug
Russia|Kirov Oblast
Russia|Komi Republic
Russia|Kostroma Oblast
Russia|Krasnodar Krai
Russia|Krasnoyarsk Krai
Russia|Kurgan Oblast
Russia|Kursk Oblast
Russia|Leningrad Oblast
Russia|Lipetsk Oblast
Russia|Magadan Oblast
Russia|Mari El Republic
Russia|Mordovia Republic
Russia|Moscow
Russia|Moscow Oblast
Russia|Murmansk Oblast
Russia|Nenets Autonomous Okrug
Russia|Nizhny Novgorod Oblast
Russia|North Ossetia - Alania Republic
Russia|Novgorod Oblast
Russia|Novosibirsk Oblast
Russia|Omsk Oblast
Russia|Orel Oblast
Russia|Orenburg Oblast
Russia|Penza Oblast
Russia|Perm Krai
Russia|Primorsky Krai
Russia|Pskov Oblast
Russia|Rostov Oblast
Russia|Ryazan Oblast
Russia|Saint Petersburg
Russia|Sakha (Yakutiya) Republic
Russia|Sakhalin Oblast
Russia|Samara Oblast
Russia|Saratov Oblast
Russia|Smolensk Oblast
Russia|Stavropol Krai
Russia|Sverdlovsk Oblast
Russia|Tambov Oblast
Russia|Tatarstan Republic
Russia|Tomsk Oblast
Russia|Tula Oblast
Russia|Tver Oblast
Russia|Tyumen Oblast
Russia|Tyva Republic
Russia|Udmurt Republic
Russia|Ulyanovsk Oblast
Russia|Vladimir Oblast
Russia|Volgograd Oblast
Russia|Vologda Oblast
Russia|Voronezh Oblast
Russia|Yamalo-Nenets Autonomous Okrug
Russia|Yaroslavl Oblast
Russia|Zabaykalsky Krai
Russia|nan
Rwanda|nan
Saint Barthelemy|nan
Saint Kitts and Nevis|nan
Saint Lucia|nan
Saint Martin|nan
Saint Vincent and the Grenadines|nan
Samoa|nan
San Marino|nan
Sao Tome and Principe|nan
Saudi Arabia|nan
Senegal|nan
Serbia|nan
Seychelles|nan
Sierra Leone|nan
Singapore|nan
Slovakia|nan
Slovenia|nan
Solomon Islands|nan
Somalia|nan
South Africa|nan
South Korea|nan
South Sudan|nan
Spain|Andalusia
Spain|Aragon
Spain|Asturias
Spain|Baleares
Spain|C. Valenciana
Spain|Canarias
Spain|Cantabria
Spain|Castilla - La Mancha
Spain|Castilla y Leon
Spain|Catalonia
Spain|Ceuta
Spain|Extremadura
Spain|Galicia
Spain|La Rioja
Spain|Madrid
Spain|Melilla
Spain|Murcia
Spain|Navarra
Spain|Pais Vasco
Spain|Unknown
Spain|nan
Sri Lanka|nan
St. Martin|nan
Sudan|nan
Suriname|nan
Sweden|Blekinge
Sweden|Dalarna
Sweden|Gavleborg
Sweden|Gotland
Sweden|Halland
Sweden|Jamtland Harjedalen
Sweden|Jonkoping
Sweden|Kalmar
Sweden|Kronoberg
Sweden|Norrbotten
Sweden|Orebro
Sweden|Ostergotland
Sweden|Skane
Sweden|Sormland
Sweden|Stockholm
Sweden|Uppsala
Sweden|Varmland
Sweden|Vasterbotten
Sweden|Vasternorrland
Sweden|Vastmanland
Sweden|Vastra Gotaland
Sweden|nan
Switzerland|nan
Syria|nan
Taipei and environs|Taiwan
Taiwan|Taiwan
Taiwan|nan
Tajikistan|nan
Tanzania|nan
Thailand|nan
Timor-Leste|nan
Togo|nan
Trinidad and Tobago|nan
Tunisia|nan
Turkey|nan
Uganda|nan
Ukraine|Cherkasy Oblast
Ukraine|Chernihiv Oblast
Ukraine|Chernivtsi Oblast
Ukraine|Crimea Republic*
Ukraine|Dnipropetrovsk Oblast
Ukraine|Donetsk Oblast
Ukraine|Ivano-Frankivsk Oblast
Ukraine|Kharkiv Oblast
Ukraine|Kherson Oblast
Ukraine|Khmelnytskyi Oblast
Ukraine|Kiev
Ukraine|Kiev Oblast
Ukraine|Kirovohrad Oblast
Ukraine|Luhansk Oblast
Ukraine|Lviv Oblast
Ukraine|Mykolaiv Oblast
Ukraine|Odessa Oblast
Ukraine|Poltava Oblast
Ukraine|Rivne Oblast
Ukraine|Sevastopol*
Ukraine|Sumy Oblast
Ukraine|Ternopil Oblast
Ukraine|Vinnytsia Oblast
Ukraine|Volyn Oblast
Ukraine|Zakarpattia Oblast
Ukraine|Zaporizhia Oblast
Ukraine|Zhytomyr Oblast
Ukraine|nan
United Arab Emirates|nan
United Kingdom|Anguilla
United Kingdom|Bermuda
United Kingdom|British Virgin Islands
United Kingdom|Cayman Islands
United Kingdom|Channel Islands
United Kingdom|England
United Kingdom|Falkland Islands (Islas Malvinas)
United Kingdom|Falkland Islands (Malvinas)
United Kingdom|Gibraltar
United Kingdom|Isle of Man
United Kingdom|Montserrat
United Kingdom|Northern Ireland
United Kingdom|Scotland
United Kingdom|Turks and Caicos Islands
United Kingdom|UK
United Kingdom|United Kingdom
United Kingdom|Unknown
United Kingdom|Wales
United Kingdom|nan
Uruguay|nan
Uzbekistan|nan
Vanuatu|nan
Vatican City|nan
Venezuela|nan
Vietnam|nan
West Bank and Gaza|nan
Yemen|nan
Zambia|nan
Zimbabwe|nan
